"","Factor","beta.index","Mantel.pearson.r","Mantel.pearson.p","Mantel.kendall.r","Mantel.kendall.p","Mantel.spearman.r","Mantel.spearman.p"
"1","pH","euclidean.abun.weight",0.687947612980971,0.0833333333333333,0.333333333333333,0.416666666666667,0.485714285714286,0.208333333333333
"2","pH","manhattan.abun.weight",-0.0199211561887288,0.458333333333333,-0.0716114874039433,0.583333333333333,-0.029424494316825,0.416666666666667
"3","pH","jaccard.abun.weight",-0.0276404967557445,0.5,-0.0716114874039433,0.583333333333333,-0.029424494316825,0.416666666666667
"4","pH","bray.abun.weight",-0.0199211561887289,0.458333333333333,-0.0716114874039433,0.583333333333333,-0.029424494316825,0.416666666666667
"5","pH","binomial.abun.weight",-0.761611716204288,0.875,-0.466666666666667,0.958333333333333,-0.542857142857143,0.833333333333333
"6","pH","euclidean.not.weight",-0.759251126140915,0.875,-0.552052447473883,0.958333333333333,-0.666736691000316,0.833333333333333
"7","pH","manhattan.not.weight",-0.767926633007231,0.875,-0.552052447473883,0.958333333333333,-0.666736691000316,0.833333333333333
"8","pH","jaccard.not.weight",-0.613333097362975,0.875,-0.552052447473883,1,-0.550782483869826,0.875
"9","pH","bray.not.weight",-0.614682207644729,0.875,-0.552052447473883,1,-0.550782483869826,0.875
"10","pH","binomial.not.weight",-0.767926633007231,0.875,-0.552052447473883,0.958333333333333,-0.666736691000316,0.833333333333333
"11","temp","euclidean.abun.weight",-0.111503717008103,0.583333333333333,0.2,0.458333333333333,0.142857142857143,0.458333333333333
"12","temp","manhattan.abun.weight",0.303017456462941,0.291666666666667,0.358057437019716,0.208333333333333,0.382518426118725,0.208333333333333
"13","temp","jaccard.abun.weight",0.291585334758816,0.291666666666667,0.358057437019716,0.208333333333333,0.382518426118725,0.208333333333333
"14","temp","bray.abun.weight",0.303017456462941,0.291666666666667,0.358057437019716,0.208333333333333,0.382518426118725,0.208333333333333
"15","temp","binomial.abun.weight",0.183028788836688,0.458333333333333,-0.0666666666666667,0.583333333333333,-0.0857142857142857,0.541666666666667
"16","temp","euclidean.not.weight",0.169173162829479,0.5,0,0.541666666666667,0.0289885517826224,0.5
"17","temp","manhattan.not.weight",0.166992582052913,0.5,0,0.541666666666667,0.0289885517826224,0.5
"18","temp","jaccard.not.weight",0.465269871883612,0.166666666666667,0.276026223736942,0.208333333333333,0.376851173174092,0.25
"19","temp","bray.not.weight",0.46960207388329,0.166666666666667,0.276026223736942,0.208333333333333,0.376851173174092,0.25
"20","temp","binomial.not.weight",0.166992582052913,0.5,0,0.541666666666667,0.0289885517826224,0.5
"21","DO","euclidean.abun.weight",0.0786042011983689,0.375,0.0666666666666667,0.625,0.2,0.291666666666667
"22","DO","manhattan.abun.weight",-0.157570030909818,0.625,-0.21483446221183,0.833333333333333,-0.2353959545346,0.666666666666667
"23","DO","jaccard.abun.weight",-0.164269062311423,0.625,-0.21483446221183,0.833333333333333,-0.2353959545346,0.666666666666667
"24","DO","bray.abun.weight",-0.157570030909819,0.625,-0.21483446221183,0.833333333333333,-0.2353959545346,0.666666666666667
"25","DO","binomial.abun.weight",-0.0517443317923292,0.583333333333333,0.0666666666666667,0.541666666666667,0.0285714285714286,0.541666666666667
"26","DO","euclidean.not.weight",-0.0651532328553179,0.583333333333333,0,0.541666666666667,-0.0579771035652448,0.583333333333333
"27","DO","manhattan.not.weight",-0.0816934091206476,0.583333333333333,0,0.541666666666667,-0.0579771035652448,0.583333333333333
"28","DO","jaccard.not.weight",0.34911158669864,0.291666666666667,0.276026223736942,0.25,0.347862621391469,0.25
"29","DO","bray.not.weight",0.34575194815357,0.291666666666667,0.276026223736942,0.25,0.347862621391469,0.25
"30","DO","binomial.not.weight",-0.0816934091206476,0.583333333333333,0,0.541666666666667,-0.0579771035652448,0.583333333333333
