"","Factor","Taxa.category","sum.Pearson.r","sum.Pearson.p","sum.Kendall.r","sum.Kendall.p","sum.Spearman.r","sum.Spearman.p","Mantel.Eucl.Pearson.r","Mantel.Eucl.Pearson.p","Mantel.Eucl.Kendall.r","Mantel.Eucl.Kendall.p","Mantel.Eucl.Spearman.r","Mantel.Eucl.Spearman.p","Mantel.Bray.Pearson.r","Mantel.Bray.Pearson.p","Mantel.Bray.Kendall.r","Mantel.Bray.Kendall.p","Mantel.Bray.Spearman.r","Mantel.Bray.Spearman.p","CCA.proportion","CCA.p"
"1","pH","Carbon",0.21459977889244,0.78540022110756,-0.333333333333333,0.75,-0.4,0.75,0.121697027026118,0.5,0.138013111868471,0.625,0.202919862478357,0.375,-0.53678934434738,0.958333333333333,-0.2,0.875,-0.428571428571429,0.916666666666667,0.2220848826531,0.791666666666667
"2","pH","Nitrogen",-0.784709229697645,0.215290770302354,-0.333333333333333,0.75,-0.4,0.75,-0.437201056685526,0.833333333333333,-0.333333333333333,0.958333333333333,-0.485714285714286,0.875,0.84847584278103,0.208333333333333,0.466666666666667,0.208333333333333,0.657142857142857,0.208333333333333,0.297986923331027,0.875
"3","pH","Phosphorus",0.714285714285714,0.285714285714285,0.666666666666667,0.333333333333333,0.8,0.333333333333333,0.542350715566728,0.166666666666667,0.276026223736942,0.416666666666667,0.463816828521959,0.208333333333333,-0.0947535821143611,0.583333333333333,-0.086066296582387,0.666666666666667,-0.0338061701891407,0.583333333333333,0.38362563237774,0.458333333333333
"4","temp","Carbon",-0.122212102268591,0.877787897731409,0,1,-0.2,0.916666666666667,-0.170634163162732,0.625,-0.138013111868471,0.75,-0.202919862478357,0.708333333333333,0.364741054285716,0.25,0.2,0.375,0.371428571428571,0.25,0.520935862320746,0.208333333333333
"5","temp","Nitrogen",0.567384785413504,0.432615214586496,0.666666666666667,0.333333333333333,0.8,0.333333333333333,-0.0542722313325619,0.5,0.0666666666666667,0.541666666666667,-0.0285714285714286,0.541666666666667,-0.456196552136293,0.875,-0.2,0.875,-0.257142857142857,0.708333333333333,0.329872031739859,0.916666666666667
"6","temp","Phosphorus",-0.543033744302805,0.456966255697195,-0.333333333333333,0.75,-0.6,0.416666666666667,-0.00779535141122746,0.458333333333333,0.138013111868471,0.458333333333333,0.0579771035652448,0.458333333333333,0.176024288452024,0.458333333333333,0.258198889747161,0.333333333333333,0.304255531702266,0.291666666666667,0.409875089810327,0.5
"7","DO","Carbon",-0.164117070647901,0.835882929352099,0,1,0.2,0.916666666666667,0.557576302953046,0.125,0.552052447473883,0.166666666666667,0.695725242782938,0.0833333333333333,0.0137390718163411,0.541666666666667,0.0666666666666667,0.583333333333333,0.0857142857142857,0.583333333333333,0.508075446996965,0.333333333333333
"8","DO","Nitrogen",0.923009911727256,0.0769900882727441,0.666666666666667,0.333333333333333,0.8,0.333333333333333,-0.375174085563638,0.833333333333333,-0.333333333333333,1,-0.485714285714286,0.958333333333333,0.592123767388825,0.0416666666666667,0.466666666666667,0.166666666666667,0.657142857142857,0.0416666666666667,0.287408693373661,0.958333333333333
"9","DO","Phosphorus",-0.911368195157705,0.0886318048422952,-1,0.0833333333333333,-1,0.0833333333333333,0.0635016829159898,0.375,0,0.625,0.0869656553478673,0.375,-0.163348411381333,0.666666666666667,0.086066296582387,0.541666666666667,0.0676123403782813,0.5,0.174421661415087,0.833333333333333
