"","All","X1","X2","X3","X4","X5"
"domain","-1","-1","-1","-1","-1","-1"
"Fungi","4405","881","881","881","881","881"
"3","","","","","",""
"phylum","-1","-1","-1","-1","-1","-1"
"Fungi.Ascomycota","277","61","85","3","58","70"
"Fungi.Basidiomycota","2908","530","520","615","636","607"
"Fungi.Chytridiomycota","170","74","12","49","26","9"
"Fungi.Glomeromycota","576","101","153","113","112","97"
"Fungi.Zygomycota","474","115","111","101","49","98"
"10","","","","","",""
"class","-1","-1","-1","-1","-1","-1"
"Fungi.Ascomycota.Sordariomycetes","277","61","85","3","58","70"
"Fungi.Basidiomycota.Agaricomycetes","1561","187","189","380","490","315"
"Fungi.Basidiomycota.Agaricostilbomycetes","184","97","33","18","8","28"
"Fungi.Basidiomycota.Basidiomycota_unidentified","713","158","187","129","82","157"
"Fungi.Basidiomycota.Tremellomycetes","229","35","35","39","38","82"
"Fungi.Basidiomycota.unclassified","221","53","76","49","18","25"
"Fungi.Chytridiomycota.Chytridiomycota_unidentified","170","74","12","49","26","9"
"Fungi.Glomeromycota.Glomeromycetes","576","101","153","113","112","97"
"Fungi.Zygomycota.Incertae_sedis_10","474","115","111","101","49","98"
"21","","","","","",""
"order","-1","-1","-1","-1","-1","-1"
"Fungi.Ascomycota.Sordariomycetes.Sordariomycetes_unidentified","277","61","85","3","58","70"
"Fungi.Basidiomycota.Agaricomycetes.Atheliales","268","88","63","43","37","37"
"Fungi.Basidiomycota.Agaricomycetes.Boletales","940","8","76","264","397","195"
"Fungi.Basidiomycota.Agaricomycetes.unclassified","353","91","50","73","56","83"
"Fungi.Basidiomycota.Agaricostilbomycetes.Agaricostilbales","184","97","33","18","8","28"
"Fungi.Basidiomycota.Basidiomycota_unidentified.Basidiomycota_unidentified_1","713","158","187","129","82","157"
"Fungi.Basidiomycota.Tremellomycetes.Trichosporonales","229","35","35","39","38","82"
"Fungi.Basidiomycota.unclassified.unclassified","221","53","76","49","18","25"
"Fungi.Chytridiomycota.Chytridiomycota_unidentified.Chytridiomycota_unidentified_1","170","74","12","49","26","9"
"Fungi.Glomeromycota.Glomeromycetes.Glomerales","576","101","153","113","112","97"
"Fungi.Zygomycota.Incertae_sedis_10.Mucorales","474","115","111","101","49","98"
"34","","","","","",""
"family","-1","-1","-1","-1","-1","-1"
"Fungi.Ascomycota.Sordariomycetes.Sordariomycetes_unidentified.Sordariomycetes_unidentified_1","277","61","85","3","58","70"
"Fungi.Basidiomycota.Agaricomycetes.Atheliales.Atheliaceae","268","88","63","43","37","37"
"Fungi.Basidiomycota.Agaricomycetes.Boletales.Boletaceae","269","8","63","35","92","71"
"Fungi.Basidiomycota.Agaricomycetes.Boletales.unclassified","671","0","13","229","305","124"
"Fungi.Basidiomycota.Agaricomycetes.unclassified.unclassified","353","91","50","73","56","83"
"Fungi.Basidiomycota.Agaricostilbomycetes.Agaricostilbales.Chionosphaeraceae","184","97","33","18","8","28"
"Fungi.Basidiomycota.Basidiomycota_unidentified.Basidiomycota_unidentified_1.Basidiomycota_unidentified_1","713","158","187","129","82","157"
"Fungi.Basidiomycota.Tremellomycetes.Trichosporonales.Trichosporonaceae","229","35","35","39","38","82"
"Fungi.Basidiomycota.unclassified.unclassified.unclassified","221","53","76","49","18","25"
"Fungi.Chytridiomycota.Chytridiomycota_unidentified.Chytridiomycota_unidentified_1.Chytridiomycota_unidentified_1","170","74","12","49","26","9"
"Fungi.Glomeromycota.Glomeromycetes.Glomerales.Glomeraceae","576","101","153","113","112","97"
"Fungi.Zygomycota.Incertae_sedis_10.Mucorales.Mycocladaceae","474","115","111","101","49","98"
